,y,x,osmid,highway,geometry
5689673314,1.3686213,103.8998023,5689673314,,POINT (103.8998023 1.3686213)
5689673315,1.3664212,103.8972017,5689673315,,POINT (103.8972017 1.3664212)
5689673316,1.3665444,103.8969803,5689673316,,POINT (103.8969803 1.3665444)
4004972131,1.4005696,103.8996128,4004972131,,POINT (103.8996128 1.4005696)
5689673318,1.3673203,103.8962912,5689673318,,POINT (103.8962912 1.3673203)
4004972129,1.3999418,103.8983966,4004972129,,POINT (103.8983966 1.3999418)
380372581,1.3730637,103.8845804,380372581,,POINT (103.8845804 1.3730637)
6609962592,1.3819359,103.8867737,6609962592,,POINT (103.8867737 1.3819359)
6730483306,1.3616886,103.9417105,6730483306,,POINT (103.9417105 1.3616886)
4004972133,1.4008268,103.8946475,4004972133,,POINT (103.8946475 1.4008268)
4004972141,1.4009118,103.8946423,4004972141,,POINT (103.8946423 1.4009118)
6730483310,1.3620294,103.9408384,6730483310,,POINT (103.9408384 1.3620294)
4004972142,1.4008786,103.8939425,4004972142,,POINT (103.8939425 1.4008786)
4004972143,1.4009067,103.8937659,4004972143,,POINT (103.8937659 1.4009067)
6730483313,1.3620589,103.9414229,6730483313,,POINT (103.9414229 1.3620589)
4004972145,1.4009926,103.898082,4004972145,,POINT (103.898082 1.4009926)
4004972147,1.4011802,103.8981428,4004972147,,POINT (103.8981428 1.4011802)
4004972144,1.4009621,103.8939472,4004972144,,POINT (103.8939472 1.4009621)
4314662518,1.3682273,103.8845331,4314662518,,POINT (103.8845331 1.3682273)
4314662520,1.368287,103.8849096,4314662520,,POINT (103.8849096 1.368287)
6730483322,1.3637385,103.9398265,6730483322,,POINT (103.9398265 1.3637385)
3865151104,1.3789588,103.8967922,3865151104,,POINT (103.8967922 1.3789588)
3865151105,1.3790836,103.8969077,3865151105,,POINT (103.8969077 1.3790836)
4005070467,1.408479,103.898269,4005070467,,POINT (103.898269 1.408479)
3865151112,1.3793671,103.8973021,3865151112,,POINT (103.8973021 1.3793671)
3865151113,1.3795179,103.8973699,3865151113,,POINT (103.8973699 1.3795179)
3865151114,1.379703,103.8927985,3865151114,,POINT (103.8927985 1.379703)
4005070474,1.4085504,103.8966078,4005070474,,POINT (103.8966078 1.4085504)
3865151121,1.3797171,103.892896,3865151121,,POINT (103.892896 1.3797171)
3865151122,1.3797406,103.8968887,3865151122,,POINT (103.8968887 1.3797406)
4005070481,1.4085464,103.8961427,4005070481,,POINT (103.8961427 1.4085464)
3865151129,1.3799728,103.8931818,3865151129,,POINT (103.8931818 1.3799728)
3865151130,1.3799674,103.8925538,3865151130,,POINT (103.8925538 1.3799674)
4005070489,1.408075,103.897604,4005070489,,POINT (103.897604 1.408075)
3865151132,1.3799782,103.8970091,3865151132,,POINT (103.8970091 1.3799782)
3865151136,1.3815707,103.8926562,3865151136,,POINT (103.8926562 1.3815707)
6745654947,1.3936668,103.8965345,6745654947,,POINT (103.8965345 1.3936668)
3865151140,1.3817623,103.8929442,3865151140,,POINT (103.8929442 1.3817623)
3865151141,1.3817626,103.8930454,3865151141,,POINT (103.8930454 1.3817626)
3865151142,1.3876523,103.896484,3865151142,,POINT (103.896484 1.3876523)
6745654948,1.3934031,103.8964368,6745654948,,POINT (103.8964368 1.3934031)
3865151150,1.3879454,103.8969696,3865151150,,POINT (103.8969696 1.3879454)
5304682159,1.370382,103.9218494,5304682159,,POINT (103.9218494 1.370382)
4568417968,1.4040436,103.9000282,4568417968,,POINT (103.9000282 1.4040436)
3865151153,1.3880804,103.8963329,3865151153,,POINT (103.8963329 1.3880804)
3865151154,1.3881736,103.8963114,3865151154,,POINT (103.8963114 1.3881736)
380372654,1.3720885,103.8850925,380372654,,POINT (103.8850925 1.3720885)
4005070511,1.4082685,103.8981514,4005070511,,POINT (103.8981514 1.4082685)
5177181877,1.386574,103.8763989,5177181877,,POINT (103.8763989 1.386574)
5177181870,1.3910239,103.8723896,5177181870,,POINT (103.8723896 1.3910239)
5177181876,1.3917556,103.872183,5177181876,,POINT (103.872183 1.3917556)
7202801338,1.3616759,103.8933462,7202801338,,POINT (103.8933462 1.3616759)
7202801339,1.3616975,103.8939905,7202801339,,POINT (103.8939905 1.3616975)
5304682178,1.3693372,103.9218371,5304682178,,POINT (103.9218371 1.3693372)
7202801347,1.3621224,103.8930961,7202801347,,POINT (103.8930961 1.3621224)
5304682183,1.3678542,103.9222412,5304682183,,POINT (103.9222412 1.3678542)
4005070536,1.4084369,103.8962693,4005070536,,POINT (103.8962693 1.4084369)
240027339,1.3632101,103.8720986,240027339,,POINT (103.8720986 1.3632101)
