,u,v,key,osmid,bridge,oneway,length,geometry,service
567,2274883357,2274882434,0,173144832,yes,False,126.541,"LINESTRING (103.9014852 1.4037978, 103.9009349 1.4028016)",
568,1839722271,242964669,0,173144843,yes,False,24.43,"LINESTRING (103.8945043 1.3960723, 103.8942862 1.3960993)",yard
569,1839722271,2274924964,0,173144843,yes,False,12.562,"LINESTRING (103.8945043 1.3960723, 103.894615 1.3960496)",yard
570,1839722272,1839722273,0,173144841,yes,False,35.845,"LINESTRING (103.8943293 1.3961841, 103.894651 1.396162)",yard
571,2274882337,2274882752,0,218215447,yes,False,77.176,"LINESTRING (103.9120296 1.4027366, 103.9114899 1.4031732)",
572,2274882337,2274881889,0,218215447,yes,False,107.285,"LINESTRING (103.9120296 1.4027366, 103.9128156 1.4021767)",
573,1839722273,2274924965,0,173144841,yes,False,11.777,"LINESTRING (103.894651 1.396162, 103.8947548 1.3961408)",yard
574,1839722273,1839722272,0,173144841,yes,False,35.845,"LINESTRING (103.894651 1.396162, 103.8943293 1.3961841)",yard
575,1839722275,2274875333,0,218215448,yes,False,27.912,"LINESTRING (103.9182171 1.3976465, 103.9181573 1.3974027)",
576,1839722275,411686462,0,218215448,yes,False,27.888,"LINESTRING (103.9182171 1.3976465, 103.9182295 1.397897)",
577,1839722276,411686462,0,218215448,yes,False,25.462,"LINESTRING (103.9181859 1.3981218, 103.9182295 1.397897)",
578,1839722276,411686461,0,218215448,yes,False,21.662,"LINESTRING (103.9181859 1.3981218, 103.9181126 1.3983023)",
579,1839722277,411686461,0,218215448,yes,False,19.43,"LINESTRING (103.9180155 1.3984476, 103.9181126 1.3983023)",
580,1839722277,1839722278,0,218215448,yes,False,21.373,"LINESTRING (103.9180155 1.3984476, 103.9178844 1.3985882)",
581,242967334,242967350,0,173144841,yes,False,45.145,"LINESTRING (103.8985281 1.3981906, 103.8987239 1.3985463)",yard
582,242967334,2274875620,0,173144841,yes,False,39.83,"LINESTRING (103.8985281 1.3981906, 103.8983275 1.3978938)",yard
583,1839722278,1839722277,0,218215448,yes,False,21.373,"LINESTRING (103.9178844 1.3985882, 103.9180155 1.3984476)",
