,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,bridge,access,tunnel,junction
1235,4004994835,4004994833,0,644261177,False,,service,,19.314,"LINESTRING (103.8989014 1.4063445, 103.8989145 1.4061713)",2,driveway,,,,
1236,4004994835,4430972624,0,"[476395128, 655182285, 476395118]",False,Punggol Central,tertiary,60,95.05600000000001,"LINESTRING (103.8989014 1.4063445, 103.8985436 1.4063479, 103.8983458 1.4063475, 103.8983227 1.4063475, 103.8980464 1.406355)","['5', '3', '4']",,,,,
1237,4004994835,1748996424,0,476395128,False,Punggol Central,tertiary,60,181.34699999999998,"LINESTRING (103.8989014 1.4063445, 103.8992595 1.4063395, 103.8996537 1.4063339, 103.8999113 1.406301, 103.9001287 1.4062491, 103.9005046 1.4061252)",3,,,,,
1238,4004999716,4004999718,0,397721358,False,,service,,17.349,"LINESTRING (103.8956501 1.4035503, 103.8956983 1.4036987)",2,driveway,,,,
1239,4004999716,4702038549,0,"[620530725, 620530726]",False,Punggol Field,residential,50,87.22,"LINESTRING (103.8956501 1.4035503, 103.8960676 1.4034757, 103.8964235 1.4034183)","['3', '4']",,,,,
1240,4004999716,5178392191,0,"[231414426, 776661342]",False,Punggol Field,residential,50,65.374,"LINESTRING (103.8956501 1.4035503, 103.8953769 1.403599, 103.8950709 1.4036522)",2,,,,,
1241,4004999718,4004999716,0,397721358,False,,service,,17.349,"LINESTRING (103.8956983 1.4036987, 103.8956501 1.4035503)",2,driveway,,,,
1242,4004999718,4005003162,0,"[397721357, 651016950]",False,,service,,166.059,"LINESTRING (103.8956983 1.4036987, 103.89556 1.4037251, 103.8951226 1.4038115, 103.8950637 1.4038331, 103.8950484 1.4038589, 103.8950419 1.4038925, 103.8950609 1.4040966, 103.8950907 1.4043052, 103.8951082 1.4043856, 103.8951379 1.4044293, 103.8951777 1.404655)",2,driveway,,,,
1243,4004999718,4004999726,0,"[644259496, 651035859, 782568740]",False,,service,,221.17400000000004,"LINESTRING (103.8956983 1.4036987, 103.8959362 1.403654, 103.8961568 1.4036172, 103.8965437 1.403575, 103.8965739 1.4035841, 103.8966004 1.4036039, 103.8966129 1.4036303, 103.8966695 1.40418, 103.8966507 1.4042394, 103.8966099 1.4042621, 103.8962336 1.4043083)",2,driveway,,,,
1244,4004999726,4004999718,0,"[644259496, 651035859, 782568740]",False,,service,,221.17399999999998,"LINESTRING (103.8962336 1.4043083, 103.8966099 1.4042621, 103.8966507 1.4042394, 103.8966695 1.40418, 103.8966129 1.4036303, 103.8966004 1.4036039, 103.8965739 1.4035841, 103.8965437 1.403575, 103.8961568 1.4036172, 103.8959362 1.403654, 103.8956983 1.4036987)",2,driveway,,,,
1245,4004999728,4005007230,0,397722377,False,,service,,35.038,"LINESTRING (103.8955819 1.4047893, 103.8956356 1.4050998)",,driveway,,,,
1246,4004999728,4005003159,0,464793760,False,,service,,48.730999999999995,"LINESTRING (103.8955819 1.4047893, 103.8955225 1.4044118, 103.8955771 1.4043988)",,driveway,,,,
1247,4004999728,4005003162,0,644259497,False,,service,,63.186,"LINESTRING (103.8955819 1.4047893, 103.8953418 1.4048621, 103.8952734 1.4048661, 103.8952224 1.4048393, 103.895197 1.4047844, 103.8951777 1.404655)",2,driveway,,,,
1248,4005003154,4005003159,0,397721719,False,,service,,24.975,"LINESTRING (103.8955417 1.404177, 103.8955771 1.4043988)",,driveway,,,,
1249,4005003157,4005003159,0,644259936,False,,service,,12.72,"LINESTRING (103.8956903 1.4043821, 103.8955771 1.4043988)",,driveway,,,,
1250,4005003159,4005003154,0,397721719,False,,service,,24.975,"LINESTRING (103.8955771 1.4043988, 103.8955417 1.404177)",,driveway,,,,
1251,4005003159,4005003157,0,644259936,False,,service,,12.72,"LINESTRING (103.8955771 1.4043988, 103.8956903 1.4043821)",,driveway,,,,
1252,4005003159,4004999728,0,464793760,False,,service,,48.730999999999995,"LINESTRING (103.8955771 1.4043988, 103.8955225 1.4044118, 103.8955819 1.4047893)",,driveway,,,,
1253,4005003161,4005003162,0,397721718,False,,service,,7.564,"LINESTRING (103.8952454 1.4046482, 103.8951777 1.404655)",,driveway,,,,
1254,4005003162,4005003161,0,397721718,False,,service,,7.564,"LINESTRING (103.8951777 1.404655, 103.8952454 1.4046482)",,driveway,,,,
1255,4005003162,4004999718,0,"[397721357, 651016950]",False,,service,,166.05900000000003,"LINESTRING (103.8951777 1.404655, 103.8951379 1.4044293, 103.8951082 1.4043856, 103.8950907 1.4043052, 103.8950609 1.4040966, 103.8950419 1.4038925, 103.8950484 1.4038589, 103.8950637 1.4038331, 103.8951226 1.4038115, 103.89556 1.4037251, 103.8956983 1.4036987)",2,driveway,,,,
1256,4005003162,4004999728,0,644259497,False,,service,,63.186,"LINESTRING (103.8951777 1.404655, 103.895197 1.4047844, 103.8952224 1.4048393, 103.8952734 1.4048661, 103.8953418 1.4048621, 103.8955819 1.4047893)",2,driveway,,,,
1257,4005003163,4005003168,0,644258864,False,,service,,89.17,"LINESTRING (103.8968027 1.4047631, 103.8970362 1.4055303)",2,driveway,,,,
1258,4005003165,4005003173,0,397721720,False,,service,,83.27699999999999,"LINESTRING (103.8962564 1.4050398, 103.8962108 1.4051443, 103.8962988 1.4057731)",2,driveway,,,,
1259,4005003167,6191130322,0,397721717,False,,service,,9.266,"LINESTRING (103.8972181 1.4054806, 103.8971377 1.4055026)",2,driveway,,,,
1260,4005003167,4699838981,0,"[476389376, 717446183]",False,Punggol Way,secondary,60,48.571,"LINESTRING (103.8972181 1.4054806, 103.8972826 1.4057066, 103.8973378 1.4059007)","['5', '3']",,,,,
1261,4005003167,4702038552,0,"[190451323, 652021502]",False,Punggol Way,secondary,60,213.832,"LINESTRING (103.8972181 1.4054806, 103.8971499 1.4052562, 103.8969897 1.4046449, 103.89684 1.4040333, 103.8967475 1.4036165)",3,,,,,
1262,4005003168,6191130322,0,397721717,False,,service,,11.696,"LINESTRING (103.8970362 1.4055303, 103.8971377 1.4055026)",2,driveway,,,,
1263,4005003168,4005003163,0,644258864,False,,service,,89.17,"LINESTRING (103.8970362 1.4055303, 103.8968027 1.4047631)",2,driveway,,,,
1264,4005003168,4005003173,0,397721721,False,,service,,116.91499999999998,"LINESTRING (103.8970362 1.4055303, 103.8970732 1.4056806, 103.8970732 1.4057342, 103.8970571 1.4057865, 103.8970061 1.4058154, 103.896927 1.4058408, 103.8967553 1.4058489, 103.8964576 1.4058448, 103.8963798 1.4058274, 103.8962988 1.4057731)",2,driveway,,,,
1265,4005003173,4005003175,0,644258863,False,,service,,27.19,"LINESTRING (103.8962988 1.4057731, 103.896339 1.4060143)",2,driveway,,,,
1266,4005003173,4005003165,0,397721720,False,,service,,83.27699999999999,"LINESTRING (103.8962988 1.4057731, 103.8962108 1.4051443, 103.8962564 1.4050398)",2,driveway,,,,
1267,4005003173,4005003168,0,397721721,False,,service,,116.91499999999998,"LINESTRING (103.8962988 1.4057731, 103.8963798 1.4058274, 103.8964576 1.4058448, 103.8967553 1.4058489, 103.896927 1.4058408, 103.8970061 1.4058154, 103.8970571 1.4057865, 103.8970732 1.4057342, 103.8970732 1.4056806, 103.8970362 1.4055303)",2,driveway,,,,
1268,4005003175,4005003173,0,644258863,False,,service,,27.19,"LINESTRING (103.896339 1.4060143, 103.8962988 1.4057731)",2,driveway,,,,
1269,4005007230,4004999728,0,397722377,False,,service,,35.038,"LINESTRING (103.8956356 1.4050998, 103.8955819 1.4047893)",,driveway,,,,
1270,4005007233,4598671860,0,534630734,False,Sumang Walk,residential,50,46.343,"LINESTRING (103.8951567 1.4057919, 103.8952353 1.4062012)",2,,,,,
1271,4005007233,5256486376,0,"[397722378, 703355659]",False,,service,,60.858999999999995,"LINESTRING (103.8951567 1.4057919, 103.8952911 1.4057871, 103.8957039 1.4057745)",2,driveway,,,,
1272,4005007233,5178392194,0,"[620532292, 780096524, 780096525, 703353366, 534994110]",False,Sumang Walk,residential,50,203.27,"LINESTRING (103.8951567 1.4057919, 103.895046 1.4050761, 103.8949665 1.4045737, 103.8949411 1.4044531, 103.8949009 1.4042332, 103.8948543 1.4039893)","['3', '2', '4']",,,,,
1273,4005057149,4005069245,0,397727227,False,,service,,24.196,"LINESTRING (103.9003089 1.4065695, 103.9002382 1.4063637)",1,driveway,,,,
